Item Name;Region;Lore;DescriptionGame;DescriptionLore;ImageURL
Knight's Vow;demacia;Knights Vow is tied to Demacia's ideals of protection and sacrifice, embodying the unwavering loyalty of its warriors, perhaps Garen or Jarvan IV.;Redirects damage from an ally to the wearer, healing based on damage dealt. Grants bonus armor while near the ally.;Target ally is blessed, taking 1d4 less damage, transferred to the vow-bearer. The vow-bearer heals 1hp per point of damage they deal while the vow remains. While near the ally, +1 AC.;https://wiki.leagueoflegends.com/en-us/images/Knight%27s_Vow_item.png
Liandry's Torment;shadow isles;Associated with the Black Mist and the Ruination, embodying lingering torment and agony.;Deals bonus magic damage over time, amplified against slowed or immobilized enemies.;Inflicts Agony (save vs. Will or take 1d4 damage/round). Agony intensifies against those Hindered or Bound, doubling the damage. Upon death, the Agony transfers to the nearest living creature.;https://wiki.leagueoflegends.com/en-us/images/Liandry%27s_Torment_item.png
Locket of the Iron Solari;targon;Forged with celestial power on Mount Targon, it resonates with the strength of the sun and protects against the encroaching darkness.;Provides magic resist and an AoE shield to protect allies from incoming damage.;Bestows a ward against malign spirits. Grants +2 to saves vs. spells for the wearer and those within 30'. Lasts 3 turns. Usable once per day.;https://wiki.leagueoflegends.com/en-us/images/Locket_of_the_Iron_Solari_item.png
Luden's Companion;ionia;Associated with the ancient Rune Mage, Luden, amplifying magical abilities and arcane echoes within Ionia.;Damaging abilities grant charges. At max charges, the next damaging ability consumes all charges to deal bonus damage to the target and nearby enemies.;Upon casting, roll +INT. On a 10+, unleash a magical barrage dealing 1d6 force damage to all creatures within 10ft.;https://wiki.leagueoflegends.com/en-us/images/Luden%27s_Companion_item.png
Manamune;ionia;Forged in Ionia, the Manamune is believed to be connected to the spirit realm, amplifying the wielder's inner energies into potent attacks.;Grants bonus damage based on mana. Converts mana to attack damage and restores mana on hit.;"Wielder's attacks deal +1d4 force damage for every 10 points of mana. On a hit, restore 1 mana; if mana is full, +1 temporary hit point instead. Breaks if mana ever reaches 0.";https://wiki.leagueoflegends.com/en-us/images/Manamune_item.png
Mejai's Soulstealer;noxus;Mejai's Soulstealer is likely connected to dark magic practiced in Noxus or learned from the Black Rose.;Grants Ability Power upon champion kills and assists, up to a cap. AP is lost upon death.;Wearer gains +1 to cast dangerous magics. For each foe slain, gain +1 to hit with any magic attack, maximum +25. Upon death, lose all bonuses and roll on the mishap table.;https://wiki.leagueoflegends.com/en-us/images/Mejai%27s_Soulstealer_item.png
Mikael's Blessing;targon;Associated with the aspect of protection, embodying resilience against malevolent forces. Connected to celestial beings watching over Runeterra.;Removes all crowd control effects from an ally and grants them temporary immunity to disables.;Touch a creature to instantly remove paralysis, sleep, or charm. Furthermore, the target saves against all further such effects for the next turn.;https://wiki.leagueoflegends.com/en-us/images/Mikael%27s_Blessing_item.png
Morellonomicon;noxus;Associated with forbidden Noxian magics and necromancy, potentially linked to dark arts practiced in the empire's underbelly.;Applies Grievous Wounds to enemies hit by abilities, reducing healing.;Creatures struck by magic from this tome suffer -2 on all saves vs. death magic and healing spells restore only half HP. Undead take double damage.;https://wiki.leagueoflegends.com/en-us/images/Morellonomicon_item.png
Muramana;ionia;Linked to Ryze and the World Runes, resonating with immense magical power and potential.;Grants bonus damage and mana-based scaling on-hit and with abilities.;Upon attunement, weapon deals +1d6 force damage. Expend mana (1 point) to deal +1d6 force damage with an attack. Chance of attracting unwanted magical attention.;https://wiki.leagueoflegends.com/en-us/images/Muramana_item.png
Navori Flickerblade;ionia;Associated with Ionian assassins seeking perfect form, possibly linked to the Spirit Blossom festival's transience.;Abilities reduce other ability cooldowns on-hit, empowering future casts.;Swift action to reduce next spellcasting time by 1 round. On critical, caster may Disappear as per the spell, but lasts only 1 round (1-in-6 chance each round).;https://wiki.leagueoflegends.com/en-us/images/Navori_Flickerblade_item.png
Overlord's Bloodmail;noxus;Forged in the forges of Noxus, rumored to be quenched in the blood of fallen enemies, possibly a favored item by Darius.;Grants bonus health, attack damage and size, increased damage based on missing health, and bonus healing.;Wearer gains +3 Hit Points. When below half HP, do +1 damage. When HP is critical, do +2. Chance to instill fear in weaker foes. Requires attunement and a Strength score of 13.;https://wiki.leagueoflegends.com/en-us/images/Overlord%27s_Bloodmail_item.png
Profane Hydra;noxus;Crafted in Noxus, it whispers promises of dominance, potentially tied to blood magic or the Crimson Circle.;Deals AoE damage around the user and empowers the next attack to deal more damage to low health enemies.;Strike the ground to deal 2d6 damage to all within 10ft (save for half). Next attack deals +1d8 damage and, if target is below 25% HP, they must save vs. death or die instantly.;https://wiki.leagueoflegends.com/en-us/images/Profane_Hydra_item.png
Randuin's Omen;freljord;Crafted by the Iceborn of the Freljord, it is said to ward off the most savage blows.;Reduces damage from attacks and slows nearby attackers.;Grants a 1-in-6 chance to negate any physical blow. On a failed save, attackers within melee range must make a DC 13 Constitution saving throw or be slowed (attacks made at -2 penalty) for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Randuin%27s_Omen_item.png
Ravenous Hydra;noxus;A brutal weapon favored by Noxian warriors. It is rumored to have been wielded by powerful warlords, amplifying their destructive potential in battle.;Deals area of effect damage and grants lifesteal, enhancing sustain and wave clear.;Cleave: Enemies within 10' take 1d6 damage. Life Drain: User heals 1hp per successful attack. On a critical hit heal 1d4 in addition. Wielder must save vs. CHA or become blood thirsty (-1 to CHA rolls).;https://wiki.leagueoflegends.com/en-us/images/Ravenous_Hydra_item.png
Riftmaker;noxus;Implies a connection to hemomancy or the Black Rose, enhancing their life-draining magic and dark influence.;Damage is converted to true damage, and healing is granted based on damage dealt.;"Wearer gains +1 to hit and damage. On a hit, regain 1d4 hit points. Prolonged use turns flesh pallid; must SAVE vs DISEASE each day or lose 1d6 CON.";https://wiki.leagueoflegends.com/en-us/images/Riftmaker_item.png
Runaan's Hurricane;ionia;Crafted by an unknown Ionian smith, it is said to channel the storm's fury through multiple projectiles, embodying Ionian balance.;Fires bolts at nearby enemies on attack, dealing reduced damage but applying on-hit effects.;The wielder's attack splits, striking two additional targets within range. Each secondary strike deals less damage, but may inflict status effects.;https://wiki.leagueoflegends.com/en-us/images/Runaan%27s_Hurricane_item.png
Seraph's Embrace;targon;Associated with celestial beings and immense magical power, rumored to be linked to the Aspect of Magic.;Grants ability power, mana, and a shield based on mana.;Wearer gains +1 to cast spells. Expend mana to create a shimmering shield, AC 16, absorbs 1d6 damage. Shield lasts 3 rounds.;https://wiki.leagueoflegends.com/en-us/images/Seraph%27s_Embrace_item.png
Serylda's Grudge;freljord;Likely named after a Freljordian hero or ice witch, this weapon embodies the harsh, unforgiving nature of the frozen north and its tenacious inhabitants.;Provides armor penetration and slows enemies hit by abilities.;Attacks bypass armor as if it were ice. Upon being hit, enemies must Save vs. Cold or suffer -2 to movement speed for 1d4 rounds.;https://wiki.leagueoflegends.com/en-us/images/Serylda%27s_Grudge_item.png
Shurelya's Battlesong;targon;Said to amplify the voices of Targonian Aspects, channeling celestial power into a harmonious battle cry.;Grants movement speed and empowering damage to nearby allies upon activation.;Once per day, emits a pulse. Allies gain +2 to initiative and deal +1 damage for the next round. Undead flee.;https://wiki.leagueoflegends.com/en-us/images/Shurelya%27s_Battlesong_item.png
Spear of Shojin;ionia;Forged by a Shojin monk, it amplifies inner strength. It is possibly related to the spirit realm and martial prowess of Ionia.;Grants bonus attack damage, health, and ability haste. Abilities grant bonus movement speed and attack speed.;Wearer gains +2 to hit and damage. After casting a spell, move more quickly and strike with supernatural speed for 6 seconds. Save versus WIS or be stunned for 1 round after spell cast.;https://wiki.leagueoflegends.com/en-us/images/Spear_of_Shojin_item.png
Staff of Flowing Water;ionia;Said to be imbued with the essence of a tranquil river spirit, favored by Ionian monks for meditation and empowering allies.;Heals or shields grant bonus Ability Power and Haste to the user and their ally.;Upon casting a spell that heals or protects, the target's next spell is empowered. The target can cast spells faster or produce a more powerful effect as determined by the GM.;https://wiki.leagueoflegends.com/en-us/images/Staff_of_Flowing_Water_item.png
Sterak's Gage;demacia;Potentially crafted by a Demacian artisan for elite warriors, it symbolizes resilience and the will to endure even mortal wounds.;Provides a shield when taking heavy damage, and boosts size and strength.;Wearer gains +2 on saves vs. massive damage. Upon failing a save, briefly become giant-sized, gaining +1d6 to hit and damage for 1d4 rounds.;https://wiki.leagueoflegends.com/en-us/images/Sterak%27s_Gage_item.png
Stridebreaker;noxus;Favored by Noxian warmasters, it allows brutal warriors to close the gap and deliver devastating blows. Associated with aggressive, conquering forces.;Deals damage and slows enemies on cast, while granting movement speed.;Once per day, user may move their speed x3. If the user attacks, all targets hit must save vs STR or be slowed for 1d4 turns. Damage inflicted is +1 die type.;https://wiki.leagueoflegends.com/en-us/images/Stridebreaker_item.png
